name,code,headmaster,link
Academy of Journalism and Communication,,,https://en.wikipedia.org/wiki/Academy_of_Journalism_and_Communication
An Giang University,,Rector: Võ Văn Thắng,https://en.wikipedia.org/wiki/An_Giang_University
Bac Ha International University,,,https://en.wikipedia.org/wiki/Bac_Ha_International_University
British University Vietnam,,President: Professor Raymond Gordon,https://en.wikipedia.org/wiki/British_University_Vietnam
Can Tho University,,President: Hà Thanh Toàn,https://en.wikipedia.org/wiki/Can_Tho_University
Dalat University,,Principal: Dr. Le Minh Chien,https://en.wikipedia.org/wiki/Dalat_University
Dong Nai University,DNU,Rector: Le Anh Duc,https://en.wikipedia.org/wiki/Dong_Nai_University
Dong Thap University,,Rector: Hồ Văn Thống,https://en.wikipedia.org/wiki/Dong_Thap_University
Haiphong University,,,https://en.wikipedia.org/wiki/Haiphong_University
Hanoi University of Public Health,,,https://en.wikipedia.org/wiki/Hanoi_University_of_Public_Health
Hồng Đức University,,Rector: Associate Professor Bùi Văn Dũng,https://en.wikipedia.org/wiki/H%E1%BB%93ng_%C4%90%E1%BB%A9c_University
Hung Vuong University,,,https://en.wikipedia.org/wiki/Hung_Vuong_University
Hung Yen University of Technology and Education,,"President: Bui Trung Thanh, Ph.D. associate professor",https://en.wikipedia.org/wiki/Hung_Yen_University_of_Technology_and_Education
Lạc Hồng University,,,https://en.wikipedia.org/wiki/L%E1%BA%A1c_H%E1%BB%93ng_University
National Key Universities of Vietnam,,,https://en.wikipedia.org/wiki/National_Key_Universities_of_Vietnam
Nha Trang University,,President: Assoc. Prof. Dr. Trang Si Trung,https://en.wikipedia.org/wiki/Nha_Trang_University
Quảng Bình University,,Chancellor: Dr. Hoang Duong Hung,https://en.wikipedia.org/wiki/Qu%E1%BA%A3ng_B%C3%ACnh_University
Tân Tạo University,,,https://en.wikipedia.org/wiki/T%C3%A2n_T%E1%BA%A1o_University
Tra Vinh University,TVCC,Rector: Associate Professor Doctor Nguyen Minh Hoa,https://en.wikipedia.org/wiki/Tra_Vinh_University
VNU University of Languages and International Studies,,Rector: Nguyen Xuan Long,https://en.wikipedia.org/wiki/VNU_University_of_Languages_and_International_Studies
Vietnam Maritime University,,Principal: Dr. Phạm Xuân Dương,https://en.wikipedia.org/wiki/Vietnam_Maritime_University
Vietnam Naval Academy,,President: Dr. Nguyen Van Lam,https://en.wikipedia.org/wiki/Vietnam_Naval_Academy
Vietnamese military academies,,,https://en.wikipedia.org/wiki/Vietnamese_military_academies
Vietnamese-Japanese Foreign Language-Technology College,,,https://en.wikipedia.org/wiki/Vietnamese-Japanese_Foreign_Language-Technology_College
Vinh Medical University,,,https://en.wikipedia.org/wiki/Vinh_Medical_University
Vinh University,,,https://en.wikipedia.org/wiki/Vinh_University
VNU University of Economics and Business,,Rector: Le Trung Thanh,https://en.wikipedia.org/wiki/VNU_University_of_Economics_and_Business
VNU University of Social Sciences and Humanities,,Rector: Hoàng Anh Tuấn,https://en.wikipedia.org/wiki/VNU_University_of_Social_Sciences_and_Humanities
